Product,Brand,Gender,Category,Movement Type,Case Material,Case Size,Case Thickness,Dial Color,Glass,Band Material,Band Color,Buckle,Water Resistance,Other Specs
AC1007MDLIPBARG,Alexandre Christie,Men,Quartz Watch,Quartz (Battery),Stainless Steel,39.5 mm,10 mm,Black,Mineral Crystal,Leather,Black,,3 ATM (30 Meters),
AC1008MDBBRBA,Alexandre Christie,Men,Quartz Watch,Quartz (Battery),Stainless Steel,39.5 mm,8.5 mm,Black,Mineral Crystal,Stainless Steel,Black,,3 ATM (30 Meters),
AC1008MDBSSSL,Alexandre Christie,Men,Quartz Watch,Quartz (Battery),Stainless Steel,39.5 mm,8.5 mm,White,Mineral Crystal,Stainless Steel,Silver,,3 ATM (30 Meters),
AC1031LDBSSSL,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,30-38 mm,10 mm,Silver,Mineral Crystal,Stainless Steel,Silver,,3 ATM (30 Meters),
AC2977BFBRGSL,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,35.2 mm,8.8 mm,Silver,Mineral Crystal,Stainless Steel,Rose Gold,,3 ATM (30 Meters),
AC2977BFBURBU,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,35.2 mm,8.8 mm,Dark Blue,Mineral Crystal,Stainless Steel,Dark Blue,,3 ATM (30 Meters),
AC2A42BFBRGPU,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,35.7 mm,9.8 mm,Purple,Mineral Crystal,Stainless Steel,Rose Gold,,3 ATM (30 Meters),
AC2B36LHBRGSL,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,16.8 mm,5.8 mm,Silver ,Sapphire Crystal,Stainless Steel (Mesh Strap),Rose Gold,,3 ATM (30 Meters),
AC2B36LHBURBU,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,16.8 mm,5.8 mm,Blue / Rose Gold,Sapphire Crystal,Stainless Steel (Mesh Strap),Blue,,3 ATM (30 Meters),
AC2B52LHBRGPN,Alexandre Christie,Women,Quartz Watch,Quartz (Battery),Stainless Steel,21.4 mm,7.2 mm,Pink,Mineral Crystal,Stainless Steel With Acetate,Pink,,3 ATM (30 Meters),
