Product,Brand,Gender,Category,Movement Type,Case Material,Case Size,Case Thickness,Dial Color,Glass,Band Material,Band Color,Buckle,Water Resistance,Battery Life ,Designation
CA158WA-1D,Casio,men,Digital Watch,Quartz Digital,Stainless Steel ,36.8 × 33.2 × 8.2 mm, 8.2 mm,Black ,Resin,Stainless Steel,Silver,Foldover Clasp,Water-Resistant,Approx. battery life: 7 years on CR2016,Unisex (Suitable for both Men & Women)
CA158WA-1D,Casio,women,Digital Watch,Quartz Digital,Stainless Steel ,36.8 × 33.2 × 8.2 mm, 8.2 mm,Black ,Resin,Stainless Steel,Silver,Foldover Clasp,Water-Resistant,Approx. battery life: 7 years on CR2016,Unisex (Suitable for both Men & Women)
CAE-1000W-8A,Casio,men,Digital Watch,Quartz Digital,Resin,48.2 × 45 × 13.8 mm,13.8 mm,Gray,Resin Glass,Resin,Gray,Tang ,100 meters,Approx. 10 years on a CR2025 battery,
CAE-1200WHD-1A,Casio,men,Digital Watch,Quartz Digital,Stainless Steel ,45 × 42.1 × 12.5 mm,12.5 mm,Gray And Black,Resin Glass,Stainless Steel,Gray, Pin Buckle Clasp,100 Metres,Approx. battery life: 10 years on CR2025,
CAE-1600H-5A,Casio,men,Digital Watch,Quartz Digital,Resin,54.1 × 49.7 × 15.9 mm, 15.9 mm,Gray,Resin Glass,Resin,Beige,Standard Black Plastic,100-meter,Approx. battery life: 10 years on CR2032,
CB640WB-1A,Casio,men,Digital Watch,Quartz Digital,Resin,38.9 × 35 × 9.4 mm,15mm, Black,Resin Glass,Stainless Steel,Black,Adjustable Foldover Clasp,50-meter,Approx. battery life: 3 years on CR2016,Unisex (Suitable for both Men & Women)
CB640WB-1A,Casio,women,Digital Watch,Quartz Digital,Resin,38.9 × 35 × 9.4 mm,15mm, Black,Resin Glass,Stainless Steel,Black,Adjustable Foldover Clasp,50-meter,Approx. battery life: 3 years on CR2016,Unisex (Suitable for both Men & Women)
CA130WEG-9A,Casio,men,Digital Watch,Quartz Digital,Resin,40.5 × 33.9 × 9 mm,9mm,Gold,Resin Glass,Stainless Steel,Gold,"	Milanese Clasp",10 meter,Approx. battery life: 3 years on CR1616,Unisex (Suitable for both Men & Women)
CA130WEG-9A,Casio,women,Digital Watch,Quartz Digital,Resin,40.5 × 33.9 × 9 mm,9mm,Gold,Resin Glass,Stainless Steel,Gold,"	Milanese Clasp",10 meter,Approx. battery life: 3 years on CR1616,Unisex (Suitable for both Men & Women)
CA168WEMB-1B,Casio,men,Digital Watch,Quartz Digital,Stainless Steel,38.6 × 36.3 × 9.6 mm,9.6 mm,Black,Resin Glass,Stainless steel,Black,Adjustable Clasp,30 meter,Approx. battery life: 7 years on CR2016,
CAE-1500WHC-1A,Casio,men,Digital Watch,Quartz Digital,"	Resin",54.4 × 51.3 × 15.8 mm,"	15.7 mm",Green,Resin Glass,"	Resin",Black,Pin Buckle,100 Meter,Approx. battery life: 10 years on CR2032,
CAE-1500WHC-8A,Casio,men,Digital Watch,Quartz Digital,Resin,54.4 × 51.3 mm,15.8 mm,"Orange, Black",Resin Glass,Resin Band,Grey,Tang Buckle ,100-meter,Approx. battery life: 10 years on CR2032,
CAE-1700H-1A,Casio,men,Digital Watch,Quartz Digital, Resin And Aluminum,54.9 × 47.3 × 14.3 mm,14.3 mm,Gray/Liquid Crystal,Resin Glass,Resin ,Black,Pin Buckle,100-meter,Approx. battery life: 10 years on CR2032,
CAE-1700H-1A2,Casio,men,Digital Watch,Quartz Digital,Resin ,54.9 × 47.3 × 14.3 mm,14.3 mm, Gray ,Resin Glass,Resin ,Black,Pin Buckle,100-meter,Approx. battery life: 10 years on CR2032,
CW-221H-8A,Casio,men,Digital Watch,Quartz Digital,Resin,43.7 × 38.4 × 12.2 mm, 12.2 mm,Ream/Beige And Grey,Resin Glass,Resin ,Beige, Plastic Tang Buckle,50-meter ,Approx. battery life: 10 years on CR2032,
CMTP-V004D-7B2,Casio,men,Digital Watch,Quartz Digital,Stainless Steel,47 × 41.5 × 8.3 mm, 8.3 mm,Silver,Mineral Glass,Stainless Steel,Silver,Triple-Fold Clasp,30 meter,Approx. battery life: 3 years on SR626SW,
CMQ-24DA-2A,Casio,men,Digital Watch,Quartz Digital,Resin,38.8 × 34.9 × 7.8 mm,7.8mm,Blue,Resin Glass,Stainless steel,Silver,Adjustable Clasp,30 meter,Approx. battery life: 3 years on SR626SW,
CLWS-2200H-1A,Casio,men,Digital Watch,Quartz Digital,Resin,42.6 × 37.6 × 11.9 mm,11.9 mm.,Black,Resin Glass,Resin,Black,Pin Buckle,100-meter ,Approx. battery life: 2 years on CR1620,Unisex (Suitable for both Men & Women)
CLWS-2200H-1A,Casio,women,Digital Watch,Quartz Digital,Resin,42.6 × 37.6 × 11.9 mm,11.9 mm.,Black,Resin Glass,Resin,Black,Pin Buckle,100-meter ,Approx. battery life: 2 years on CR1620,Unisex (Suitable for both Men & Women)
CLW-204-9A,Casio,women,Digital Watch,Quartz Digital, Resin,38.9 × 35 × 9.4 mm,9.4 mm,Cream / Gold,Resin Glass,Resin,Cream,Tang-Style Pin Buckle,50-meter ,Approx. battery life: 3 years on CR2016,
CAE-1700H-1B,Casio,men,Digital Watch,Quartz Digital,Resin,54.9 × 47.3 × 14.3 mm,14.3 mm,Black ,Resin Glass,Aluminum,Black ,Black Resin Plastic Tang Buckle,100-meter ,Approx. battery life: 10 years on CR2032,
CDW-291H-1A,Casio,men,Digital Watch,Quartz Digital,Resin,50.5 × 50.4 × 13.5 mm,13.5 mm,Gold,Mineral Glass,resin,Black,Tang Buckle Clasp,200-meter,Approx. battery life: 10 years on CR2025,
CDW-291HX-1A,Casio,men,Digital Watch,Quartz Digital,Resin,50.5 × 50.4 × 13.5 mm,13.5 mm,Black,Mineral Glass,Resin,Black,Pin Buckle Clasp,200-meter,Approx. battery life: 10 years on CR2025,
CLTP-1183A-7A,Casio,women,Digital Watch,Quartz Digital,Stainless Steel,31.5 × 28.5 × 6.6 mm,17 mm,Silver,Mineral Glass,Stainless Steel ,Silver, Triple-Fold Clasp,30 meters,Approx. battery life: 3 years on SR621SW,
CLTP-V006L-7B,Casio,women,Digital Watch,Quartz Digital,Stainless Steel,30.4 × 25 × 9.2 mm,9.4 mm,White.,Mineral Glass,Leather,Black ,Tang Buckle Clasp,30 meters ,Approx. battery life: 3 years on SR626SW,
CLW-204-7A,Casio,men,Digital Watch,Quartz Digital,Resin,38.9 × 35 × 9.4 mm,9.4 mm,White, Resin Glass,Resin,Gray,Pin Buckle, 50-meter,Approx. battery life: 3 years on CR2016,Unisex (Suitable for both Men & Women)
CLW-204-7A,Casio,women,Digital Watch,Quartz Digital,Resin,38.9 × 35 × 9.4 mm,9.4 mm,White, Resin Glass,Resin,Gray,Pin Buckle, 50-meter,Approx. battery life: 3 years on CR2016,Unisex (Suitable for both Men & Women)
