Product,Brand,Gender,Category,Movement Type,Case Material,Case Size,Weight,Dial Color,Glass,Band Material,Band Color,Buckle,Water Resistance,Other Specs
CGA-2100-1A1,G-shock,Men,Digitat Watch ,Quartz Digital,carbon and fine resin,48.5 × 45.4 × 11.8 mm,51 g,black,Mineral,black resin, Black,Tang ,200-meter,Approx. battery life: 3 years on SR726W X 2
CGBD-200-1D,G-shock,Men,Digitat Watch ,Quartz Digital,"durable, shock-resistant resin",48.4 × 45.9 × 15 mm,58 g,Black,Mineral,black resin,Black,tang,200-meter,Approx. battery life: 2 years on CR2032
CCGA-140-1A4,G-shock,Men,Digitat Watch ,Quartz Digital, resin material,55 × 51.2 × 16.9 mm,72 g,Black,Mineral,Resin Band,Black,Clasp,200-meter,Approx. battery life: 2 years on CR1220
CGD-010-1D,G-shock,Men,Digitat Watch ,Quartz Digital,bio-based carbon and bio-base,54.9 × 51.9 × 16.1 mm,65 g,Black,Mineral,bio-based resin,Black, pin-buckle clasp,200-meter,Approx. battery life: 10 years on CR2025
CGMA-P2110SC-2A,G-shock,women,Digitat Watch ,Quartz Digital,esin and bio-based resin,46 × 40.5 × 11.3 mm,37 g,Navy blue gradient,Mineral,bio-based resin,black, Tang ,200-meter ,Approx. battery life: 3 years on CR1025
CGA-2100RL-1A,G-shock,Men,Digitat Watch ,Quartz Digital,Bio-based resin,48.5 × 45.4 × 11.8 mm,51 g,"black, accented with signature touches of red, blue, and yellow",Mineral,bio-based resin,Black,metal tongue buckle,200-meter,Approx. battery life: 3 years on SR726W X 2
CGMA-P2100PC-1A,G-shock,WOMEN,Digitat Watch ,Quartz Digital,resin and bio-based resin,46 × 40.2 × 11.2 mm,40 g,Purple,Mineral ,bio-based resin,Black,tang ,200-meter,Approx. battery life: 3 years on CR1025
CGA-B010-1A1,G-shock,Men,Digitat Watch ,Quartz Digital,bio-based carbon and bio-based resin,52.3 × 49.3 × 15.2 mm,57 g,Black,Mineral, bio-based resin,Black,tang,200-meter ,Tough Solar (Solar powered)
CGMD-B300-2D,G-shock,WOMEN,Digitat Watch ,Quartz Digital,standard resin and eco-friendly bio-based resin,46.4 × 43.8 × 12 mm,41 g,gray/clear background tone,Mineral,bio-based resin band,matte navy blue,Tang,200-meter ,Approx. battery life: 2 years on CR2016
CGMA-P2100M-7A,G-shock,WOMEN,Digitat Watch ,Quartz Digital,resin and bio-based resin,46 × 40.2 × 11.2 mm,40 g, white,Mineral,Bio-based resin, white,silver-tone pin buckle clasp,200-meter,Approx. battery life: 3 years on CR1025
