Product,Brand,Gender,Category,Charger�,Size�,Case Thickness,Color,Display,Phone Call & Received,Notifications,Heart Rate,Blood Pressure,Blood Oxygen,Bluetooth,Battery
MA27(Black),Microwear,Men,Smart Watch,Wireless charging,48.5*47.5,12.8mm,"Black, Silver, Titanium","1.43 inch TFT screen, 360*360 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.1,430MAH Lithium ion polymer battery
MA27(Titanium),Microwear,Men,Smart Watch,Wireless charging,48.5*47.5,12.8mm,"Black, Silver, Titanium","1.43 inch TFT screen, 360*360 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.1,430MAH Lithium ion polymer battery
MA31(Silver),Microwear,Men,Smart Watch,Wireless charging,47.6*45.6,13.2MM,"Black,Silver,Orange","1.43 inch TFT screen,  360*360 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 5.4,380MAH Lithium ion polymer battery
MA35(Black),Microwear,Men/Women,Smart Watch,Wireless charging,46.8*46.8,12.5mm," Silver,Titanium Steel (Starry Sky), black","1.99-inch HD Full-Vision  AMOLED-like Display (Black Background No Whitening)
Resolution 320×384",Support,"Incoming calls, SMS, WeChat, QQ message content sync display",Supports 24-hour heart rate monitoring,Support,Support,V5.4 +3.0(Dual mode),350mAh large capacity polymer battery
MA35(Pink),Microwear,Men/Women,Smart Watch,Wireless charging,46.8*46.8,12.5mm," Silver,Titanium Steel (Starry Sky), black","1.99-inch HD Full-Vision  AMOLED-like Display (Black Background No Whitening)
Resolution 320×384",Support,"Incoming calls, SMS, WeChat, QQ message content sync display",Supports 24-hour heart rate monitoring,Support,Support,V5.4 +3.0(Dual mode),350mAh large capacity polymer battery
MA35(Silver),Microwear,Men/Women,Smart Watch,Wireless charging,46.8*46.8,12.5mm," Silver,Titanium Steel (Starry Sky), black","1.99-inch HD Full-Vision  AMOLED-like Display (Black Background No Whitening)
Resolution 320×384",Support,"Incoming calls, SMS, WeChat, QQ message content sync display",Supports 24-hour heart rate monitoring,Support,Support,V5.4 +3.0(Dual mode),350mAh large capacity polymer battery
U5plus(Black),Microwear,Men,Smart Watch,Wireless charging,49*44,14.4mm,"matte Black, matte Silver,matte Rose gold","2.04""AMOLED,  368*448pixel",Support,"Calls, Email, SMS, WhatsApp, Message,Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,"350 MAH Lithium ion polymer battery, wireless charger, 150mins to full charge"
U5plus(Silver),Microwear,Men,Smart Watch,Wireless charging,49*44,14.4mm,"matte Black, matte Silver,matte Rose gold","2.04""AMOLED,  368*448pixel",Support,"Calls, Email, SMS, WhatsApp, Message,Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,"350 MAH Lithium ion polymer battery, wireless charger, 150mins to full charge"
Ultra3Mini(S.Black),Microwear,Women,Smart Watch,Wireless charging,39.6*34,11.3MM,Shiny Black/Shiny Silver,"1.52inch IPS screen, 320x390 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support, BT 3.0+5.1,350MAH Lithium ion polymer battery
W10P(Black),Microwear,Men,Smart Watch,Wireless charging,46*39.8,9.7mm,"matte Black, matte Silver,matte Rose gold","2.07 inch AMOLED screen,  410*480 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.1,375 MAH Lithium ion polymer battery
W10PMini(Black),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold","1.85 inch AMOLED screen, 390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W10PMini(Rose Gold),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold","1.85 inch AMOLED screen, 390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W10PMini(Silver),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold","1.85 inch AMOLED screen, 390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W11A(Black),Microwear,Men,Smart Watch,Wireless charging,47*41,12mm,"Black, Titanmium","2.07' AMOLED,410*480",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,GPS/Wi-Fi/Bluetooth/Cellular,800mAh
W11G(Black),Microwear,Men,Smart Watch,Wireless charging,46*36.8,9.5mm,"matte Black, matte Silver,matte Rose gold","1.97 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,400MAH Lithium ion polymer battery
W11P(Black),Microwear,Men,Smart Watch,Wireless charging,46*39.8,9.7mm,"matte Black, matte Silver,matte Rose gold","2.07 inch AMOLED screen,  410*480 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,375 MAH Lithium ion polymer battery
W11P(Orange),Microwear,Men,Smart Watch,Wireless charging,46*39.8,9.7mm,"matte Black, matte Silver,matte Rose gold","2.07 inch AMOLED screen,  410*480 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,375 MAH Lithium ion polymer battery
W11P(Silver),Microwear,Men,Smart Watch,Wireless charging,46*39.8,9.7mm,"matte Black, matte Silver,matte Rose gold","2.07 inch AMOLED screen,  410*480 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,375 MAH Lithium ion polymer battery
W11PMini(Black),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold,matte orange","1.85 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W11PMini(Orange),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold,matte orange","1.85 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W11PMini(Rose Gold),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold,matte orange","1.85 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W11PMini(Silver),Microwear,Women,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold,matte orange","1.85 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W11X(Black),Microwear,Men,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold","1.85 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
W11X(Silver),Microwear,Men,Smart Watch,Wireless charging,42*36.5,9.3mm,"matte Black, matte Silver,matte Rose gold","1.85 inch AMOLED screen,  390*450 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.4,190MAH Lithium ion polymer battery
WXMini(S.Black),Microwear,Women,Smart Watch,Wireless charging,38.8*33.6,10.8MM,Shiny Black/Shiny Silver/Shiny Gold,"1.52inch IPS screen,  320x390 pixel",Support,"Calls, Email, SMS, WhatsApp, Wechat etc.",Auto 24H monitor,Support,Support,BT 3.0+5.0,350MAH Lithium ion polymer battery
